date,hour,power_kw,plant_capacity_kw,error_pct
2026-06-29,18:00,0.54,6.0,91.0
2026-06-30,07:00,0.73,6.0,87.83
2026-06-30,08:00,1.86,6.0,69.0
2026-06-30,09:00,3.0,6.0,50.0
2026-06-30,10:00,3.97,6.0,33.83
2026-06-30,11:00,4.65,6.0,22.5
2026-06-30,12:00,4.95,6.0,17.5
2026-06-30,13:00,4.88,6.0,18.67
2026-06-30,14:00,4.61,6.0,23.17
2026-06-30,15:00,4.04,6.0,32.67
2026-06-30,16:00,3.13,6.0,47.83
2026-06-30,17:00,1.84,6.0,69.33
2026-06-30,18:00,0.63,6.0,89.5
2026-07-01,07:00,0.71,6.0,88.17
2026-07-01,08:00,1.73,6.0,71.17
2026-07-01,09:00,3.29,6.0,45.17
2026-07-01,10:00,3.9,6.0,35.0
2026-07-01,11:00,4.15,6.0,30.83
2026-07-01,12:00,3.65,6.0,39.17
2026-07-01,13:00,3.99,6.0,33.5
2026-07-01,14:00,4.69,6.0,21.83
2026-07-01,15:00,2.79,6.0,53.5
2026-07-01,16:00,1.12,6.0,81.33
2026-07-01,17:00,1.62,6.0,73.0
2026-07-01,18:00,0.77,6.0,87.17
2026-07-02,07:00,0.0,6.0,100.0
2026-07-02,08:00,0.35,6.0,94.17
2026-07-02,09:00,0.43,6.0,92.83
2026-07-02,10:00,2.1,6.0,65.0
2026-07-02,11:00,2.57,6.0,57.17
2026-07-02,12:00,3.9,6.0,35.0
2026-07-02,13:00,2.34,6.0,61.0
2026-07-02,14:00,4.88,6.0,18.67
2026-07-02,15:00,3.79,6.0,36.83
2026-07-02,16:00,3.29,6.0,45.17
2026-07-02,17:00,1.88,6.0,68.67
2026-07-02,18:00,0.66,6.0,89.0
2026-07-03,07:00,0.67,6.0,88.83
2026-07-03,08:00,0.68,6.0,88.67
2026-07-03,09:00,1.08,6.0,82.0
2026-07-03,10:00,2.54,6.0,57.67
2026-07-03,11:00,3.03,6.0,49.5
2026-07-03,12:00,3.19,6.0,46.83
2026-07-03,13:00,5.21,6.0,13.17
2026-07-03,14:00,2.76,6.0,54.0
2026-07-03,15:00,3.99,6.0,33.5
2026-07-03,16:00,3.58,6.0,40.33
2026-07-03,17:00,2.34,6.0,61.0
2026-07-03,18:00,1.63,6.0,72.83
2026-07-04,07:00,0.37,6.0,93.83
2026-07-04,08:00,0.55,6.0,90.83
2026-07-04,09:00,2.05,6.0,65.83
2026-07-04,10:00,3.24,6.0,46.0
2026-07-04,11:00,2.59,6.0,56.83
2026-07-04,12:00,3.03,6.0,49.5
2026-07-04,13:00,2.22,6.0,63.0
2026-07-04,14:00,3.8,6.0,36.67
2026-07-04,15:00,3.3,6.0,45.0
2026-07-04,16:00,1.55,6.0,74.17
2026-07-04,17:00,1.21,6.0,79.83
2026-07-04,18:00,0.75,6.0,87.5
2026-07-05,07:00,0.67,6.0,88.83
2026-07-05,08:00,1.79,6.0,70.17
2026-07-05,09:00,2.86,6.0,52.33
2026-07-05,10:00,3.83,6.0,36.17
2026-07-05,11:00,1.56,6.0,74.0
2026-07-05,12:00,4.8,6.0,20.0
2026-07-05,13:00,5.52,6.0,8.0
2026-07-05,14:00,2.54,6.0,57.67
2026-07-05,15:00,2.62,6.0,56.33
2026-07-05,16:00,0.56,6.0,90.67
2026-07-05,17:00,0.51,6.0,91.5
2026-07-05,18:00,0.26,6.0,95.67
2026-07-06,07:00,0.73,6.0,87.83
2026-07-06,08:00,1.26,6.0,79.0
2026-07-06,09:00,1.73,6.0,71.17
2026-07-06,10:00,3.09,6.0,48.5
2026-07-06,11:00,2.38,6.0,60.33
2026-07-06,12:00,5.49,6.0,8.5
2026-07-06,13:00,4.97,6.0,17.17
2026-07-06,14:00,2.57,6.0,57.17
2026-07-06,15:00,4.41,6.0,26.5
2026-07-06,16:00,3.45,6.0,42.5
2026-07-06,17:00,0.97,6.0,83.83
2026-07-06,18:00,0.13,6.0,97.83
2026-07-07,07:00,0.19,6.0,96.83
2026-07-07,08:00,0.58,6.0,90.33
2026-07-07,09:00,1.21,6.0,79.83
2026-07-07,10:00,2.18,6.0,63.67
2026-07-07,11:00,1.91,6.0,68.17
2026-07-07,12:00,5.93,6.0,1.17
2026-07-07,13:00,2.37,6.0,60.5
